"who","purchase.no","touchpoint.1","touchpoint.2","touchpoint.3","touchpoint.4","touchpoint.5","touchpoint.6","touchpoint.7","touchpoint.8","touchpoint.9","touchpoint.10","touchpoint.11","touchpoint.12","touchpoint.13","touchpoint.14","touchpoint.15","touchpoint.16","touchpoint.17","touchpoint.18","touchpoint.19","touchpoint.20","touchpoint.21","touchpoint.22","touchpoint.23"
295,4,"youtube","tv","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,5,"instagram","facebook","printed","radio","third-party","twitter","search","instagram","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,6,"youtube","tv","radio","radio","email","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,7,"email","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,0,"email","search","youtube","printed","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,1,"tv","radio","radio","third-party","twitter","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,2,"email","facebook","printed","radio","email","youtube","printed","email","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,3,"search","instagram","facebook","instagram","email","twitter","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,4,"tv","tv","radio","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,5,"instagram","facebook","radio","third-party","twitter","youtube","printed","search","tv","instagram","instagram","twitter","email","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA
297,0,"printed","instagram","facebook","twitter","youtube","printed","email","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,1,"tv","search","printed","instagram","email","twitter","search","youtube","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,2,"youtube","tv","tv","instagram","printed","instagram","third-party","twitter","youtube","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,3,"tv","third-party","email","instagram","facebook","printed","radio","email","twitter","printed","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,4,"tv","tv","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,5,"email","search","printed","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,6,"tv","printed","radio","hoarding","youtube","instagram","twitter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,0,"printed","instagram","third-party","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,1,"youtube","tv","twitter","search","instagram","facebook","radio","third-party","twitter","search","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,2,"youtube","tv","twitter","radio","facebook","third-party","twitter","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,3,"tv","tv","search","facebook","third-party","search","search","third-party","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,4,"instagram","facebook","instagram","twitter","search","youtube","printed","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,5,"third-party","search","instagram","printed","third-party","twitter","search","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,6,"youtube","tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,0,"printed","radio","third-party","twitter","search","youtube","printed","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,1,"twitter","email","instagram","instagram","third-party","twitter","printed","email","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,2,"twitter","radio","radio","twitter","search","youtube","printed","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,3,"tv","search","facebook","third-party","instagram","search","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,4,"tv","radio","instagram","email","twitter","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,5,"youtube","tv","search","instagram","facebook","hoarding","printed","instagram","email","twitter","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,6,"youtube","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,0,"printed","radio","search","printed","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,1,"tv","radio","hoarding","hoarding","radio","third-party","search","youtube","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,2,"tv","search","instagram","facebook","radio","email","twitter","search","printed","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,3,"tv","search","instagram","search","printed","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,4,"search","instagram","instagram","email","twitter","search","instagram","hoarding","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,5,"twitter","radio","instagram","printed","radio","email","twitter","youtube","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,6,"tv","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,0,"printed","instagram","third-party","twitter","search","youtube","printed","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,1,"tv","radio","instagram","instagram","email","youtube","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,2,"tv","tv","search","instagram","radio","third-party","search","facebook","youtube","third-party","radio","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,3,"instagram","facebook","printed","radio","search","printed","email","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,4,"radio","instagram","radio","email","twitter","search","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,5,"youtube","tv","email","facebook","instagram","email","youtube","search",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,0,"printed","email","search","search","tv","twitter","radio","instagram","radio","email","search","youtube","instagram","search","converted",NA,NA,NA,NA,NA,NA,NA,NA
302,1,"youtube","tv","email","instagram","facebook","radio","email","search","printed","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,2,"tv","tv","search","instagram","third-party","youtube","printed","email","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,3,"tv","radio","youtube","printed","search","youtube","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,4,"tv","tv","search","printed","instagram","email","instagram","search","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,0,"printed","email","search","youtube","instagram","search","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,1,"email","printed","search","youtube","tv","radio","instagram","instagram","email","twitter","search","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,2,"tv","radio","instagram","printed","instagram","third-party","search","youtube","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,3,"email","youtube","tv","twitter","search","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,4,"facebook","twitter","youtube","instagram","search","youtube","email","facebook","printed","radio","twitter","search","printed","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA
303,5,"search","youtube","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,0,"printed","third-party","search","printed","email","tv","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,1,"search","instagram","facebook","instagram","facebook","twitter","search","youtube","search","youtube","tv","email","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,2,"instagram","printed","radio","email","search","printed","facebook","youtube","tv","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,3,"tv","radio","instagram","facebook","radio","third-party","converted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
